constructorResultsId,raceId,constructorId,points,status
16593,1088,214,10,\N
16594,1088,1,6,\N
16595,1088,117,1,\N
16596,1088,213,0,\N
16597,1088,3,0,\N
16598,1088,210,0,\N
16599,1088,51,0,\N
16600,1089,9,34,\N
16601,1089,6,30,\N
16602,1089,131,25,\N
16603,1089,1,6,\N
16604,1089,213,4,\N
16605,1089,3,2,\N
16606,1089,51,1,\N
16607,1089,214,0,\N
16608,1089,210,0,\N
16609,1089,117,0,\N
16610,1091,9,31,\N
16611,1091,6,33,\N
16612,1091,1,22,\N
16613,1091,117,12,\N
16614,1091,131,2,\N
16615,1091,213,1,\N
16616,1091,51,0,\N
16617,1091,210,0,\N
16618,1091,214,0,\N
16619,1091,3,0,\N
16620,1092,9,43,\N
16621,1092,6,15,\N
16622,1092,214,18,\N
16623,1092,131,14,\N
16624,1092,117,8,\N
16625,1092,3,2,\N
16626,1092,1,1,\N
16627,1092,213,0,\N
16628,1092,210,0,\N
16629,1092,51,0,\N
16630,1093,9,37,\N
16631,1093,131,29,\N
16632,1093,6,15,\N
16633,1093,1,8,\N
16634,1093,117,4,\N
16635,1093,210,2,\N
16636,1093,213,1,\N
16637,1093,214,6,\N
16638,1093,51,0,\N
16639,1093,3,0,\N
16640,1094,9,40,\N
16641,1094,131,31,\N
16642,1094,6,18,\N
16643,1094,1,8,\N
16644,1094,214,4,\N
16645,1094,51,1,\N
16646,1094,213,0,\N
16647,1094,3,0,\N
16648,1094,117,0,\N
16649,1094,210,0,\N
16650,1095,131,58,\N
16651,1095,6,37,\N
16652,1095,214,14,\N
16653,1095,9,23,\N
16654,1095,51,2,\N
16655,1095,117,1,\N
16656,1095,210,1,\N
16657,1095,213,0,\N
16658,1095,3,0,\N
16659,1095,1,2,\N
16660,1096,9,40,\N
16661,1096,6,30,\N
16662,1096,131,10,\N
16663,1096,1,11,\N
16664,1096,214,6,\N
16665,1096,117,5,\N
16666,1096,213,0,\N
16667,1096,51,0,\N
16668,1096,3,0,\N
16669,1096,210,0,\N
16670,1098,9,43,\N
16671,1098,117,23,\N
16672,1098,6,12,\N
16673,1098,131,16,\N
16674,1098,51,4,\N
16675,1098,214,2,\N
16676,1098,3,1,\N
16677,1098,213,0,\N
16678,1098,210,0,\N
16679,1098,1,0,\N
16680,1099,9,44,\N
16681,1099,131,22,\N
16682,1099,117,15,\N
16683,1099,6,14,\N
16684,1099,214,6,\N
16685,1099,210,1,\N
16686,1099,213,0,\N
16687,1099,51,0,\N
16688,1099,1,0,\N
16689,1099,3,0,\N
16690,1100,9,36,\N
16691,1100,131,18,\N
16692,1100,117,27,\N
16693,1100,1,12,\N
16694,1100,210,6,\N
16695,1100,51,2,\N
16696,1100,213,1,\N
16697,1100,6,0,\N
16698,1100,214,0,\N
16699,1100,3,0,\N
16700,1101,9,57,\N
16701,1101,6,36,\N
16702,1101,117,22,\N
16703,1101,131,20,\N
16704,1101,1,2,\N
16705,1101,213,1,\N
16706,1101,3,0,\N
16707,1101,210,0,\N
16708,1101,214,0,\N
16709,1101,51,0,\N
16710,1102,9,44,\N
16711,1102,117,15,\N
